cf,FIPS,tc_dev,dev_tc,tc_pdev,pdev_tc,tc_net,tc_gain,tc_loss,tc_net verbiage ,WTTC_IMP,WTTC_PDEV,WTTC_loss
leba_42075,42075,135.6566,15.7619,511.9326,116.4557,-515.3716,132.2176,647.5892,Net Loss,0.0731,0.6116,0.6847
nort_51131,51131,10.1292,7.7869,103.6132,12.236,-93.7195,20.0229,113.7424,Net Loss,0.664,0.0126,0.6766
stau_51790,51790,25.9243,10.0639,36.3992,15.2113,-37.0483,25.2752,62.3235,Net Loss,0,0.6746,0.6746
wyom_42131,42131,130.7692,5.8287,100.5444,20.9479,-204.537,26.7766,231.3136,Net Loss,0.4545,0.2171,0.6716
appo_51011,51011,65.6424,28.6141,454.624,15.9543,-475.698,44.5684,520.2664,Net Loss,0.4059,0.2594,0.6653
clin_42035,42035,157.6674,5.7437,470.0298,50.8222,-571.1313,56.5659,627.6972,Net Loss,0.3488,0.3158,0.6646
rock_51163,51163,119.2107,4.9414,267.1351,22.141,-359.2634,27.0824,386.3458,Net Loss,0.3976,0.2399,0.6375
unio_42119,42119,54.432,1.7364,139.6881,22.2254,-170.1583,23.9618,194.1201,Net Loss,0.1732,0.4076,0.5808
roan_51161,51161,84.1544,44.8785,149.6102,77.1604,-111.7257,122.0389,233.7646,Net Loss,0.185,0.3912,0.5762
balt_24510,24510,61.8355,153.4553,88.8886,77.8504,80.5816,231.3057,150.7241,Net Gain,0.3581,0.2037,0.5618
newk_51127,51127,84.6179,10.8287,678.4562,11.3574,-740.888,22.1861,763.0741,Net Loss,0.0005,0.5596,0.5601
carr_24013,24013,178.0545,64.2582,163.348,426.4974,149.3531,490.7556,341.4025,Net Gain,0.3906,0.1693,0.5599
daup_42043,42043,129.826,32.5762,306.5614,211.8374,-191.9738,244.4136,436.3874,Net Loss,0.2604,0.298,0.5584
kent_24029,24029,25.6919,8.7513,21.294,32.7827,-5.4519,41.534,46.9859,Net Loss,0.5564,0,0.5564
lync_51680,51680,71.7359,22.8902,352.7862,28.4191,-373.2128,51.3093,424.5221,Net Loss,0.1406,0.3998,0.5404
some_42111,42111,608.0489,17.9362,304.9466,66.3526,-828.7067,84.2888,912.9955,Net Loss,0.5001,0.0193,0.5194
